epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,3.32906,1.47112,4.43995,1.05399,0,0,0,0,1.78532,4.55733,1.57187,0,0,0
2,4.42413,1.88245,4.57935,1.48027,0,0,0,0,1.77328,4.56272,1.56713,1.1e-05,1.1e-05,1.1e-05
3,5.37526,1.70378,4.66826,1.37123,0,0,0,0,1.74265,4.56751,1.56547,2.178e-05,2.178e-05,2.178e-05
4,5.91431,1.63909,4.55109,1.23797,0,0,0,0,1.73643,4.56015,1.56328,3.23401e-05,3.23401e-05,3.23401e-05
5,6.42346,1.80137,4.49502,1.46553,0,0,0,0,1.74082,4.56347,1.56708,4.26802e-05,4.26802e-05,4.26802e-05
6,6.9064,2.14599,4.85915,1.50414,0,0,0,0,1.75314,4.56428,1.57594,5.28003e-05,5.28003e-05,5.28003e-05
7,7.59809,1.67921,4.47255,1.37547,0,0,0,0,1.67223,4.54818,1.5284,6.27004e-05,6.27004e-05,6.27004e-05
8,8.34147,2.20423,4.2839,1.58194,0,0,0,0,1.58281,4.54674,1.48935,7.23805e-05,7.23805e-05,7.23805e-05
9,9.13167,2.00023,4.39972,1.36585,0,0,0,0,1.51808,4.52646,1.44301,8.18407e-05,8.18407e-05,8.18407e-05
10,9.89261,1.35131,4.17487,1.1136,0,0,0,0,1.54312,4.47496,1.43357,9.10809e-05,9.10809e-05,9.10809e-05
11,10.7116,1.57594,4.0906,1.11678,0,0,0,0,1.55121,4.47791,1.46672,0.000100101,0.000100101,0.000100101
12,11.5348,1.67564,4.27427,1.15148,0,0,0,0,1.56144,4.45842,1.46201,0.000108901,0.000108901,0.000108901
13,12.3604,1.31824,3.76675,0.99685,0,0,0,0,1.54247,4.43568,1.44486,0.000117482,0.000117482,0.000117482
14,13.1627,1.27339,3.29409,1.00776,0,0,0,0,1.56785,4.35814,1.40892,0.000125842,0.000125842,0.000125842
15,13.9738,1.26878,2.98848,1.02244,0,0,0,0,1.62529,4.27543,1.40321,0.000133982,0.000133982,0.000133982
16,14.7549,1.3482,2.93218,1.00093,0,0,0,0,1.60481,4.16577,1.30782,0.000141902,0.000141902,0.000141902
17,15.5207,1.52271,2.95395,1.01774,0,0,0,0,1.65854,4.1261,1.30733,0.000149603,0.000149603,0.000149603
18,16.2536,1.29573,2.58212,1.00445,0,0,0,0,1.65854,4.1261,1.30733,0.000157083,0.000157083,0.000157083
19,17.0218,1.23065,2.68601,1.01344,0,0,0,0,1.81158,4.10494,1.36755,0.000164344,0.000164344,0.000164344
20,17.7167,1.27368,2.65463,0.90819,0,0,0,0,1.81158,4.10494,1.36755,0.000171384,0.000171384,0.000171384
21,18.4491,1.26003,2.54439,0.9741,0,0,0,0,1.80871,4.06096,1.35267,0.000178204,0.000178204,0.000178204
22,19.3566,1.36951,3.03672,1.19969,0,0,0,0,1.80871,4.06096,1.35267,0.000184805,0.000184805,0.000184805
23,20.0519,1.2715,2.26917,1.00416,0,0,0,0,1.78922,4.02913,1.32443,0.000191185,0.000191185,0.000191185
24,20.761,1.1965,2.34276,0.93904,0,0,0,0,1.78922,4.02913,1.32443,0.000197346,0.000197346,0.000197346
25,21.4683,1.23371,2.1188,0.99809,0,0,0,0,1.79404,4.01891,1.33155,0.000203286,0.000203286,0.000203286
26,22.1204,1.28081,2.14211,0.95866,0,0,0,0,1.79404,4.01891,1.33155,0.000209007,0.000209007,0.000209007
27,22.8407,1.43678,2.4158,0.88045,0,0,0,0,1.71902,3.97459,1.27377,0.000214507,0.000214507,0.000214507
28,23.4875,1.14819,1.97315,0.95315,0,0,0,0,1.71902,3.97459,1.27377,0.000219788,0.000219788,0.000219788
29,24.2405,1.23103,1.93136,0.98424,0,0,0,0,1.69261,3.93561,1.25831,0.000224849,0.000224849,0.000224849
30,24.9402,1.18768,2.16778,0.93495,0,0,0,0,1.69261,3.93561,1.25831,0.000229689,0.000229689,0.000229689
31,25.6567,1.37928,2.26065,0.97784,0.00133,0.1,0.09934,0.0596,1.74868,3.8963,1.28708,0.00023431,0.00023431,0.00023431
32,26.3728,1.20371,1.77005,1.03024,0.00133,0.1,0.09934,0.0596,1.74868,3.8963,1.28708,0.000238711,0.000238711,0.000238711
33,27.0802,1.15836,1.82791,0.91585,0.0014,0.1,0.09936,0.05961,1.77791,3.8827,1.30447,0.000242891,0.000242891,0.000242891
34,27.7804,1.18169,1.8561,0.93597,0.0014,0.1,0.09936,0.05961,1.77791,3.8827,1.30447,0.000246852,0.000246852,0.000246852
35,28.4892,1.14768,1.83831,0.9409,0.00132,0.1,0.09934,0.0596,1.77534,3.83738,1.30933,0.000250593,0.000250593,0.000250593
36,29.3255,1.19437,1.59065,0.93714,0.00132,0.1,0.09934,0.0596,1.77534,3.83738,1.30933,0.000254113,0.000254113,0.000254113
37,30.0843,1.14066,1.60283,0.94189,0.00317,0.2,0.10411,0.07288,1.7372,3.81023,1.31129,0.000257414,0.000257414,0.000257414
38,30.761,1.11329,1.7716,0.96729,0.00317,0.2,0.10411,0.07288,1.7372,3.81023,1.31129,0.000260495,0.000260495,0.000260495
39,31.4867,1.03871,1.79216,0.9329,0.00302,0.2,0.10213,0.07149,1.70307,3.80206,1.30679,0.000263356,0.000263356,0.000263356
40,32.1781,1.14175,1.66821,0.98093,0.00302,0.2,0.10213,0.07149,1.70307,3.80206,1.30679,0.000265997,0.000265997,0.000265997
41,32.963,1.06884,1.90831,0.91379,0.00304,0.2,0.10428,0.07299,1.67799,3.79264,1.31322,0.000268418,0.000268418,0.000268418
42,33.696,1.22012,1.83617,0.9506,0.00304,0.2,0.10428,0.07299,1.67799,3.79264,1.31322,0.000270618,0.000270618,0.000270618
43,34.4756,1.04087,1.46751,0.90801,0.00306,0.2,0.10203,0.07169,1.64884,3.79483,1.31528,0.000272599,0.000272599,0.000272599
44,35.1583,1.10141,1.52566,0.93121,0.00306,0.2,0.10203,0.07169,1.64884,3.79483,1.31528,0.00027436,0.00027436,0.00027436
45,35.8703,1.17206,1.48407,0.90059,0.00315,0.2,0.1031,0.07255,1.63529,3.79054,1.31949,0.000275901,0.000275901,0.000275901
46,36.5189,0.99086,1.47895,0.90279,0.00315,0.2,0.1031,0.07255,1.63529,3.79054,1.31949,0.000277222,0.000277222,0.000277222
47,37.2765,1.0807,1.60785,0.89808,0.00468,0.3,0.11132,0.0889,1.6074,3.75308,1.30272,0.000278323,0.000278323,0.000278323
48,38.0367,0.91248,1.39096,0.93934,0.00468,0.3,0.11132,0.0889,1.6074,3.75308,1.30272,0.000279204,0.000279204,0.000279204
49,38.7484,1.23966,1.50663,0.9498,0.00609,0.4,0.12712,0.09961,1.63061,3.67012,1.32668,0.000279865,0.000279865,0.000279865
50,39.446,1.18188,1.40329,0.92415,0.00609,0.4,0.12712,0.09961,1.63061,3.67012,1.32668,0.000280306,0.000280306,0.000280306
51,40.3914,1.11508,1.31118,0.9111,0.00609,0.4,0.14675,0.11602,1.63741,3.60351,1.36244,0.000280527,0.000280527,0.000280527
52,41.1428,0.88779,1.24263,0.94615,0.00609,0.4,0.14675,0.11602,1.63741,3.60351,1.36244,0.000280529,0.000280529,0.000280529
53,41.941,1.08071,1.19515,0.9136,0.00609,0.4,0.14675,0.11602,1.63741,3.60351,1.36244,0.00028031,0.00028031,0.00028031
54,42.7274,0.93808,1.21729,0.87337,0.01045,0.5,0.36567,0.26248,1.66262,3.52669,1.38628,0.000279871,0.000279871,0.000279871
55,43.4355,1.0227,1.30362,0.94314,0.01045,0.5,0.36567,0.26248,1.66262,3.52669,1.38628,0.000279212,0.000279212,0.000279212
56,44.177,1.01252,1.20856,0.92774,0.01045,0.5,0.36567,0.26248,1.66262,3.52669,1.38628,0.000278333,0.000278333,0.000278333
57,44.9613,1.03521,1.56936,0.91657,0.01001,0.5,0.3738,0.27649,1.64917,3.48225,1.40226,0.000277234,0.000277234,0.000277234
58,45.6344,0.99193,1.26791,0.92434,0.01001,0.5,0.3738,0.27649,1.64917,3.48225,1.40226,0.000275916,0.000275916,0.000275916
59,46.408,1.11294,1.30528,0.91046,0.01001,0.5,0.3738,0.27649,1.64917,3.48225,1.40226,0.000274377,0.000274377,0.000274377
60,47.1673,0.99196,1.17706,0.92423,0.00952,0.5,0.31923,0.23833,1.63816,3.48706,1.40719,0.000272618,0.000272618,0.000272618
61,47.9325,1.04816,1.31979,0.90782,0.00952,0.5,0.31923,0.23833,1.63816,3.48706,1.40719,0.00027064,0.00027064,0.00027064
62,48.6523,1.10162,1.3597,0.95099,0.00952,0.5,0.31923,0.23833,1.63816,3.48706,1.40719,0.000268441,0.000268441,0.000268441
63,49.4061,1.11305,1.30304,0.89332,0.00893,0.5,0.25143,0.17576,1.80425,3.53228,1.54104,0.000266022,0.000266022,0.000266022
64,50.0805,1.0564,1.29426,0.91736,0.00893,0.5,0.25143,0.17576,1.80425,3.53228,1.54104,0.000263384,0.000263384,0.000263384
65,50.7968,1.23932,1.63395,1.10926,0.00893,0.5,0.25143,0.17576,1.80425,3.53228,1.54104,0.000260525,0.000260525,0.000260525
66,51.5138,0.99994,1.17903,0.93458,0.00889,0.5,0.2243,0.15659,1.7411,3.50221,1.47509,0.000257446,0.000257446,0.000257446
67,52.2188,0.91163,1.34449,0.91148,0.00889,0.5,0.2243,0.15659,1.7411,3.50221,1.47509,0.000254148,0.000254148,0.000254148
68,53.0985,0.91703,1.15797,0.84842,0.00889,0.5,0.2243,0.15659,1.7411,3.50221,1.47509,0.000250629,0.000250629,0.000250629
69,53.8338,0.90989,1.17154,0.8701,0.00779,0.4,0.26186,0.1833,1.71591,3.46063,1.44347,0.000246891,0.000246891,0.000246891
70,54.5582,0.95163,1.2231,0.90405,0.00779,0.4,0.26186,0.1833,1.71591,3.46063,1.44347,0.000242932,0.000242932,0.000242932
71,55.2549,1.05646,1.33444,0.97402,0.00779,0.4,0.26186,0.1833,1.71591,3.46063,1.44347,0.000238754,0.000238754,0.000238754
72,55.9896,0.89417,1.21326,0.86569,0.00932,0.5,0.32667,0.22895,1.73941,3.35038,1.46165,0.000234355,0.000234355,0.000234355
73,56.7117,0.93481,1.26793,0.94808,0.00932,0.5,0.32667,0.22895,1.73941,3.35038,1.46165,0.000229737,0.000229737,0.000229737
